wwtp,sample_date,target_variant,totaldroplets,double_positivedroplets,fam_single_positivedroplets,hex_single_positivedroplets,cy5_single_positivedroplets,negativedroplets,percmutation,lower_ci95,upper_ci95,hcov19concentration_(gc/rxn)
ARA Altenrhein,8/23/21,S:L452R (Delta),51019,31,0,0,,50988,100,93.99385683,100,1.171101048
ARA Altenrhein,8/26/21,S:L452R (Delta),49691,34,0,2,,49655,94.44634536,89.26046351,100,1.396415857
ARA Altenrhein,8/30/21,S:L452R (Delta),79652,17,0,0,,79635,100,89.31750599,100,0.411273974
ARA Altenrhein,9/2/21,S:L452R (Delta),51936,31,0,0,,51905,100,93.99382653,100,1.150417509
ARA Altenrhein,9/6/21,S:L452R (Delta),49902,23,1,0,,49878,95.83429364,82.91137936,99.75752938,0.926894677
ARA Altenrhein,9/9/21,S:L452R (Delta),51200,26,0,1,,51173,96.29723678,89.44138546,100,1.016344595
ARA Altenrhein,9/13/21,S:L452R (Delta),50320,29,0,0,,50291,100,93.59309471,100,1.110747085
ARA Altenrhein,9/16/21,S:L452R (Delta),52190,13,0,0,,52177,100,86.26628738,100,0.480001719
ARA Altenrhein,9/20/21,S:L452R (Delta),49681,15,0,0,,49666,100,87.98265599,100,0.581834063
ARA Altenrhein,9/23/21,S:L452R (Delta),51493,24,0,0,,51469,100,92.31048381,100,0.898249362
ARA Altenrhein,9/27/21,S:L452R (Delta),52599,7,1,0,,52591,87.5008318,55.46620442,99.24156578,0.293074593
ARA Altenrhein,9/30/21,S:L452R (Delta),47807,15,0,0,,47792,100,87.98271857,100,0.604645118
ARA Altenrhein,10/6/21,S:L452R (Delta),51195,9,0,0,,51186,100,80.78349704,100,0.338755052
ARA Altenrhein,10/10/21,S:L452R (Delta),52008,12,0,0,,51996,100,85.21065344,100,0.444624964
ARA Altenrhein,10/13/21,S:L452R (Delta),48593,12,0,0,,48581,100,85.21075563,100,0.475876004
ARA Altenrhein,10/17/21,S:L452R (Delta),51087,32,0,0,,51055,100,94.1760252,100,1.207280742
ARA Altenrhein,10/20/21,S:L452R (Delta),50635,47,0,0,,50588,100,95.9975039,100,1.789292421
ARA Altenrhein,10/24/21,S:L452R (Delta),48257,68,0,0,,48189,100,97.21682496,100,2.716986009
ARA Altenrhein,11/3/21,S:L452R (Delta),45492,3,0,0,,45489,100,52.71724546,100,0.12706712
ARA Altenrhein,11/7/21,S:L452R (Delta),40937,3,0,0,,40934,100,52.71733691,100,0.14120621
ARA Altenrhein,11/10/21,S:L452R (Delta),43622,45,0,0,,43577,100,95.82358711,100,1.988674412
ARA Altenrhein,11/14/21,S:L452R (Delta),53318,75,0,0,,53243,100,97.47327602,100,2.712224817
ARA Altenrhein,11/17/21,S:L452R (Delta),42218,97,0,0,,42121,100,98.04155162,100,4.432064951
ARA Altenrhein,11/21/21,S:L452R (Delta),42032,132,1,5,,41894,95.6590054,94.05537942,99.99819635,6.336443853
ARA Altenrhein,11/24/21,S:L452R (Delta),43228,78,0,0,,43150,100,97.56973976,100,3.479799444
ARA Altenrhein,11/28/21,"69-70del (Alpha, Omicron)",51468,53,,0,0,51415,0,0,3.560905155,1.985157306
ARA Altenrhein,11/28/21,S:L452R (Delta),51857,140,0,2,,51715,98.59345143,97.2518252,100,5.283344037
ARA Altenrhein,12/1/21,"69-70del (Alpha, Omicron)",54877,135,,0,0,54742,0,0,1.414405664,4.745814839
ARA Altenrhein,12/1/21,S:L452R (Delta),51520,165,1,1,,51353,98.80431405,97.15086823,99.97499485,6.255731287
ARA Altenrhein,12/5/21,"69-70del (Alpha, Omicron)",52832,125,,1,0,52706,0.794591537,0.045509373,3.451577767,4.60070651
ARA Altenrhein,12/5/21,S:L452R (Delta),51968,163,1,1,,51803,98.78978078,97.11645643,99.97468721,6.12732542
ARA Altenrhein,12/8/21,"69-70del (Alpha, Omicron)",47319,44,,0,0,47275,0,0,4.273289047,1.79246942
ARA Altenrhein,12/8/21,S:L452R (Delta),45380,66,4,0,,45310,94.28987099,87.23031137,98.19142906,2.974413627
ARA Altenrhein,12/12/21,"69-70del (Alpha, Omicron)",51989,124,,0,3,51862,0,0,1.538892639,4.712549147
ARA Altenrhein,12/12/21,S:L452R (Delta),51065,139,0,0,,50926,100,98.62952657,100,5.25189285
ARA Altenrhein,12/15/21,"69-70del (Alpha, Omicron)",46028,120,,0,6,45902,0,0,1.590009869,5.281729979
ARA Altenrhein,12/15/21,S:L452R (Delta),90040,237,5,4,,89794,96.34628086,94.90081012,99.4466252,5.271402904
ARA Altenrhein,12/19/21,"69-70del (Alpha, Omicron)",50607,160,,12,4,50431,6.829259879,3.802421123,11.44633461,6.712603637
ARA Altenrhein,12/19/21,S:L452R (Delta),43949,165,12,3,,43769,91.68232406,88.53919067,96.50058947,7.907642583
ARA Altenrhein,12/22/21,"69-70del (Alpha, Omicron)",54589,120,,8,2,54459,6.160735717,2.908661639,11.33505883,4.593973557
ARA Altenrhein,12/22/21,S:L452R (Delta),52424,158,43,0,,52223,78.63924156,72.63490195,83.91864306,7.401716499
ARA Altenrhein,12/26/21,"69-70del (Alpha, Omicron)",55931,39,,3,1,55888,6.979240464,1.8257668,17.49754043,1.481888442
ARA Altenrhein,12/26/21,S:L452R (Delta),50699,46,10,0,,50643,82.15096073,70.80251034,90.62538169,2.129419556
ARA Altenrhein,12/29/21,"69-70del (Alpha, Omicron)",45451,43,,8,0,45400,15.69370077,7.500213683,27.24663551,2.163232243
ARA Altenrhein,12/29/21,S:L452R (Delta),89355,65,55,0,,89235,54.18334764,45.25103797,62.93847094,2.589326475
ARA Altenrhein,12/31/21,S:L452R (Delta),53015,51,65,1,,52898,43.61690924,35.15658144,53.09141123,4.256958404
ARA Altenrhein,1/1/22,"69-70del (Alpha, Omicron)",49257,51,,31,0,49175,37.82446833,27.82015021,48.57816508,3.210260545
ARA Altenrhein,1/1/22,S:L452R (Delta),46695,57,72,1,,46565,43.88047871,35.81935015,52.84866535,5.371688994
ARA Altenrhein,1/5/22,"69-70del (Alpha, Omicron)",54298,24,,24,0,54250,50.01105502,36.14372545,63.87668407,1.704048995
ARA Altenrhein,1/5/22,S:L452R (Delta),94525,11,85,0,,94429,11.46348915,6.124857865,18.82904412,1.9578428
